SAMPLE ID,,IGSN,SOURCE,DOI,TITLE,JOURNAL,MIN AGE,AGE,MAX AGE,MATERIAL,TYPE,COMPOSITION,ROCK NAME,LATITUDE,LONGITUDE,LOCPREC,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FeOT,MGO,CAO,NA2O,K2O,K_wt_percent,P2O5,MNO,LOI,H2O_PLUS,H2O_MINUS,H2O,Total,Mg_number,CR2O3,CR,LA,NIO,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,LI,BE,B,C,CO2,F,CL,SC,TI,V,CO,NI,ZN,CU,ZR,GA,BA,W,AU,HG,TA,SB,SE,SN,S,U,RE,I,P,Y,MO,PD,TE,PT,HF,IR,PB,IN,AG,TH,TL,AS,RB,CS,SR,BI,NB,OS,CD,N,RU,BR,GE
4,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,52.09,0.56,18.45,0.11,,5.99,6.09,9.65,11.00,2.48,0.21,0.17,0.10,0.18,,,,,100.71,73.86,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,5.00,,302.00,,,,,,,,
KW6A,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,50.05,0.36,20.25,0.08,,7.06,7.13,9.50,9.97,2.95,0.18,0.15,0.15,0.13,,,,,100.52,70.37,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.00,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,3.00,,467.00,,,,,,,,
93-4,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,50.52,0.23,20.83,0.06,,7.59,7.64,8.78,9.16,2.89,0.17,0.14,0.15,0.18,,,,,100.40,67.19,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,2.00,,546.00,,,,,,,,
3,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,51.60,1.14,16.72,0.05,,9.24,9.28,7.86,10.51,2.71,0.20,0.17,0.14,0.16,,,,,100.18,60.15,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,1.00,,318.00,,,,,,,,
93-26,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,52.13,0.63,12.76,0.05,,9.33,9.37,12.97,9.87,1.95,0.10,0.08,,0.24,,,,,100.02,71.15,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,,,14.00,,,,,,,,,,,,,3.00,,200.00,,,,,,,,
228106X,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,49.52,0.64,18.54,0.06,,8.27,8.32,9.29,10.79,2.46,0.22,0.18,0.44,0.15,,,,,99.93,66.55,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,1.00,,365.00,,,,,,,,
2,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,46.04,1.23,16.04,0.10,,14.32,14.41,9.88,9.84,1.45,0.31,0.26,0.15,0.37,,,,,99.57,55.00,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,2.00,,138.00,,,,,,,,
93-25b,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,41.86,5.75,13.52,0.03,,17.02,17.05,6.34,10.83,2.43,0.17,0.14,0.45,0.23,,,,,98.18,39.87,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.00,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,2.00,,411.00,,,,,,,,
KW6C,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,47.21,1.52,14.59,,,8.36,8.36,8.29,15.04,2.36,0.16,0.13,1.54,0.19,,,,,97.72,63.87,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,472.00,,,,,,,,
1,,metased,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-21.00,148.00,,42.85,3.00,16.42,0.02,,17.87,17.89,3.62,8.54,3.70,0.77,0.64,2.22,0.27,,,,,97.06,26.51,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.00,,,,,,,,,,,,,,,31.00,,,,,,,,,,,,,9.00,,590.00,,,,,,,,
260x,,,,,"Thermal history of the deep crust inferred from granulite xenoliths, Queensland, Australia",American Journal of Science,,,,Xenolith,,,Granulite,-23.00,144.00,,46.86,1.30,15.30,0.06,,8.14,8.19,7.77,13.93,2.64,0.16,0.13,3.36,0.15,,,,,96.30,62.83,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,2.00,,834.00,,,,,,,,
PT-8F,,,,,"PETROCHEMISTRY AND RECRYSTALLIZATION HISTORY OF GRANULITE XENOLITHS FROM THE PALI-AIKE VOLCANIC FIELD, CHILE.""",AMERICAN MINERALOGIST,,,,Xenolith,,,Granulite,,,,48.99,,14.39,,,7.13,7.13,12.08,15.71,0.55,0.15,0.12,,,,,,,99.00,75.13,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJ-119,,,,,"PETROCHEMISTRY AND RECRYSTALLIZATION HISTORY OF GRANULITE XENOLITHS FROM THE PALI-AIKE VOLCANIC FIELD, CHILE.""",AMERICAN MINERALOGIST,,,,Xenolith,,,Granulite,,,,50.88,,17.32,,,5.84,5.84,10.87,12.44,0.89,0.21,0.17,,,,,,,98.45,76.84,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XJ-138,,,,,"PETROCHEMISTRY AND RECRYSTALLIZATION HISTORY OF GRANULITE XENOLITHS FROM THE PALI-AIKE VOLCANIC FIELD, CHILE.""",AMERICAN MINERALOGIST,,,,Xenolith,,,Granulite,,,,46.07,,19.63,,,7.16,7.16,8.82,15.44,0.82,0.21,0.17,,,,,,,98.15,68.71,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JN 66,,,,,Trace element and isotopic characteristics of eclogites and other xenoliths derived from the lower continental crust of southeastern Australia and southwestern Colorado Plateau USA. Eclogites and Eclogite-Facies Rocks. D. C. Smith. ,"Amsterdam, Elsevier: 335-386.",,,,Xenolith,,,Granulite,,,,49.76,0.69,16.83,,,8.75,8.75,8.25,11.07,2.78,0.32,0.27,0.08,0.17,,,,,98.62,62.70,0.00,,7.42,0,19.40,2.98,15.80,4.46,0.94,4.85,0.84,5.63,1.15,3.11,,2.40,,,,,,,,,,,,,,,,15.00,,108.00,,,,,,,,,,,,,29.00,,,,,0.25,,1.73,,,,,,10.00,1.71,367.00,,3.50,,,,,,
JN 63,,,,,Trace element and isotopic characteristics of eclogites and other xenoliths derived from the lower continental crust of southeastern Australia and southwestern Colorado Plateau USA. Eclogites and Eclogite-Facies Rocks. D. C. Smith. ,"Amsterdam, Elsevier: 335-386.",,,,Xenolith,,,Granulite,,,,45.42,1.87,15.37,,,11.00,11.00,7.90,11.37,3.04,0.24,0.20,0.42,0.19,,,,,96.40,56.15,0.00,,7.47,0,22.70,3.65,20.50,5.80,1.70,5.61,,5.60,1.01,2.70,,2.40,,,,,,,,,,,,,,,,28.20,,954.00,,,,,,,2.22,,,,,,19.20,,,,,1.20,,0.94,,,0.68,,,25.60,19.80,798.40,,6.30,,,,,,
17,,metased,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,52.90,0.80,14.85,2.53,,4.79,7.07,5.30,13.56,4.10,0.63,0.52,0.28,0.12,,,,,99.33,57.21,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450.7,,,GEOROC,10.1130/B25240.1,"PETROLOGY AND GEOCHEMISTRY OF NEOPROTEROZOIC VOLCANIC ARC TERRANES BENEATH THE ATLANTIC COASTAL PLAIN, SAVANNAH RIVER SITE, SOUTH CAROLINA",BULL. GEOL. SOC. AM.,542,1521,2500,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,33.2,-81.5,0.01,78.32,0.1,11.74,,1.21,,1.09,0.15,0.77,5.82,0.91,0.76,0.01,0.02,0.72,,,,98.92,19.72,,3,30.3,,70.4,8.2,30,7.4,0.34,6.8,1.34,7.2,1.62,4.2,0.66,3.4,0.53,,,,,,,,,,4,,11,40,30,190,,244,,,,,,,,,3.2,,,,76,,,,,,,13.8,,,15.2,,,19,,48,,29,,,,,,
13,,metased,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,49.50,0.68,7.52,3.72,,5.83,9.18,16.60,13.50,1.02,0.07,0.06,0.00,0.15,,,,,98.22,76.33,0.13,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,metased,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,45.60,0.62,14.92,6.04,,5.56,10.99,10.85,12.95,1.93,0.07,0.06,0.08,0.18,,,,,98.11,63.76,0.17,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,metased,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,50.50,2.58,15.30,3.07,,5.10,7.86,4.96,12.30,3.35,0.49,0.41,0.43,0.15,,,,,97.49,52.94,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,metased,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,42.20,0.50,15.50,5.31,,4.67,9.45,15.20,13.70,0.55,0.09,0.07,0.00,0.15,,,,,97.34,74.15,0.06,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZM-6,,,GEOROC,10.1130/0016-7606(1988)100<0938:FOTMAC>2.3.CO;2,"FRAGMENTS OF THE MANTLE AND CRUST FROM BENEATH THE SIERRA NEVADA BATHOLITH: XENOLITHS IN A VOLCANIC PIPE NEAR BIG CREEK, CALIFORNIA",BULL. GEOL. SOC. AM.,,,,Xenolith,,,Granulite,47.68,14.90,0.01,58.50,0.78,13.60,3.02,,4.16,6.88,2.95,11.20,1.18,1.96,1.63,0.21,0.11,,,,,97.16,43.33,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N61,,,GEOROC,10.1016/S0009-2541(97)00076-4,"LU-HF GEOCHRONOLOGY APPLIED TO DATING CENOZOIC EVENTS AFFECTING LOWER CRUSTAL XENOLITHS FROM KILBOURNE HOLE, NEW MEXICO",CHEM. GEOL.,,,,Xenolith,,,Granulite,32.00,-107.00,0.01,42.50,2.35,22.90,,,,17.30,6.97,5.68,2.09,0.28,0.23,0.04,,,,,,100.07,41.80,0.00,,,0,3.60,,2.73,1.36,1.29,5.20,,16.00,,29.70,,30.40,8.11,,,,,,,,,,,,,,,50.00,,283.00,,,,,,,,,,,,,169.00,,,,,0.89,,,,,,,,3.10,,312.00,,21.00,,,,,,
N57M,,,GEOROC,10.1016/S0009-2541(97)00076-4,"LU-HF GEOCHRONOLOGY APPLIED TO DATING CENOZOIC EVENTS AFFECTING LOWER CRUSTAL XENOLITHS FROM KILBOURNE HOLE, NEW MEXICO",CHEM. GEOL.,,,,Xenolith,,,Granulite,32.00,-107.00,0.01,45.30,1.61,22.40,,,,15.80,6.20,6.26,1.96,0.44,0.37,0.09,,,,,,99.97,41.16,0.00,,,0,33.30,,17.20,6.99,2.27,12.00,,16.40,,13.90,,10.80,2.02,,,,,,,,,,,,,,,412.00,,371.00,,,,,,,,,,,,,110.00,,,,,11.35,,,,,,,,5.90,,236.00,,9.00,,,,,,
N42,,,GEOROC,10.1016/S0009-2541(97)00076-4,"LU-HF GEOCHRONOLOGY APPLIED TO DATING CENOZOIC EVENTS AFFECTING LOWER CRUSTAL XENOLITHS FROM KILBOURNE HOLE, NEW MEXICO",CHEM. GEOL.,,,,Xenolith,,,Granulite,32.00,-107.00,0.01,45.10,2.60,20.80,,,,16.80,5.36,5.75,3.09,0.44,0.37,0.07,,,,,,99.94,36.26,0.00,,,0,6.27,,3.01,1.48,2.12,4.71,,14.90,,22.60,,28.80,7.67,,,,,,,,,,,,,,,52.00,,308.00,,,,,,,,,,,,,154.00,,,,,1.12,,,,,,,,2.00,,388.00,,17.00,,,,,,
N55,,,GEOROC,10.1016/S0009-2541(97)00076-4,"LU-HF GEOCHRONOLOGY APPLIED TO DATING CENOZOIC EVENTS AFFECTING LOWER CRUSTAL XENOLITHS FROM KILBOURNE HOLE, NEW MEXICO",CHEM. GEOL.,,,,Xenolith,,,Granulite,32.00,-107.00,0.01,53.90,1.17,15.60,,,,9.42,8.45,7.73,2.27,0.93,0.77,0.48,,,,,,99.47,61.53,0.00,,,0,56.30,,34.70,7.55,1.93,6.24,,4.85,,2.56,,2.24,0.34,,,,,,,,,,,,,,,134.00,,1177.00,,,,,,,,,,,,,24.50,,,,,3.83,,,,,,,,5.50,,1044.00,,3.00,,,,,,
106,,metased,GEOROC,10.1016/S0009-2541(98)00038-2,"THE EFFECT OF CRUSTAL CONTAMINATION ON ULTRAPOTASSIC MAGMAS WITH LAMPROITIC AFFINITY: MINERALOGICAL, GEOCHEMICAL AND ISOTOPE DATA FROM THE TORRE ALFINA LAVAS AND XENOLITHS, CENTRAL ITALY",CHEM. GEOL.,,,,Xenolith,,,Granulite,42.75,11.95,0.01,64.00,0.44,8.34,0.30,,5.60,5.87,10.00,10.00,0.26,0.29,0.24,0.53,0.12,,,,,99.32,75.23,0.25,1163.00,69.00,0.004871898,197.00,,129.00,21.80,2.00,,0.94,,,,,0.98,0.30,,,,,,,,56.00,,,35.30,62.00,,,75.00,,293.00,,,,0.77,,,,,,,,,21.00,,,,,2.10,,,,,14.20,,,27.00,,253.00,,15.00,,,,,,
B16,,,GEOROC,10.1016/S0009-2541(98)00038-2,"THE EFFECT OF CRUSTAL CONTAMINATION ON ULTRAPOTASSIC MAGMAS WITH LAMPROITIC AFFINITY: MINERALOGICAL, GEOCHEMICAL AND ISOTOPE DATA FROM THE TORRE ALFINA LAVAS AND XENOLITHS, CENTRAL ITALY",CHEM. GEOL.,,,,Xenolith,,,Granulite,42.75,11.95,0.01,54.80,0.81,21.60,0.74,,5.56,6.23,2.67,12.40,0.38,0.24,0.20,0.19,0.12,,,,,99.25,43.33,0.02,96.00,49.00,0.003300318,107.00,,44.00,8.60,2.00,,1.50,,,,,3.40,0.50,,,,,,,,21.80,,,20.70,42.00,,,151.00,,923.00,,,,2.10,,,,,,,,,36.00,,,,,4.20,,,,,15.60,,,12.00,,600.00,,23.00,,,,,,
D243082,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,50.21,1.82,17.22,1.76,,7.51,9.09,7.10,10.62,2.57,0.43,0.36,0.23,0.16,,,,,99.22,58.19,0.04,202.00,9.36,0.00628632,27.52,,17.24,4.67,1.49,,0.99,5.14,,,,3.12,0.51,,,,,,,,36.00,,202.00,42.00,80.00,,,118.00,,119.00,,,,0.47,,,,,0.27,,,,32.00,,,,,3.18,,,,,0.17,,,3.00,,213.00,,8.00,,,,,,
DMP-37,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.90,-100.20,0.01,53.16,0.46,19.04,1.43,,5.31,6.60,6.22,9.24,3.52,0.85,0.71,0.05,0.13,,,,,99.22,62.70,0.02,109.00,4.24,0.00235737,8.10,,5.48,1.45,1.01,,0.25,1.23,,,,0.74,0.12,,,,,,,,20.00,,106.00,25.00,30.00,,,35.00,,198.00,,,,,,,,,,,,,9.00,,,,,0.68,,,,,,,,4.00,,762.00,,2.00,,,,,,
D183171,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,45.73,3.06,19.06,3.81,,5.26,8.69,6.40,12.81,2.89,0.39,0.32,0.09,0.11,,,,,99.14,56.77,0.02,71.00,4.11,0.00235737,13.39,,15.74,5.00,1.79,,0.86,3.70,,,,1.55,0.25,,,,,,,,31.00,,304.00,29.00,30.00,,,68.00,,89.00,,,,0.45,,,,,,,,,21.00,,,,,1.88,,,,,0.24,,,2.00,,949.00,,9.00,,,,,,
D103123,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,50.96,1.12,17.75,3.10,,5.47,8.26,8.06,9.61,2.63,0.58,0.48,0.15,0.15,,,,,99.12,63.50,0.07,312.00,7.44,0.00471474,17.14,,13.19,3.47,1.32,,0.56,3.46,,,,1.58,0.27,,,,,,,,22.00,,180.00,32.00,60.00,,,111.00,,188.00,,,,0.33,,,,,,,,,21.00,,,,,2.36,,,,,0.26,,,5.00,,263.00,,8.00,,,,,,
D250511,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,62.37,1.34,15.62,,14.18,,12.759164,4.91,1.22,0.28,0.17,0.14,0.03,0.25,,,,,98.92,40.69,0.04,198.00,15.31,0.002121633,37.05,,17.93,7.44,0.64,,2.33,13.06,,,,8.38,1.35,,,,,,,,40.00,,233.00,48.00,27.00,,,308.00,,58.00,,,,1.84,,,,,,,,,79.00,,,,,8.92,,,,,3.95,,,2.00,,53.00,,31.00,,,,,,
D243083,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,45.82,1.28,15.20,,12.39,,11.148522,9.51,14.07,1.51,0.18,0.15,0.12,0.18,,,,,98.90,60.33,0.07,336.00,5.50,0.009350901,13.40,,9.67,3.05,1.06,,0.69,4.46,,,,2.71,0.44,,,,,,,,46.00,,335.00,77.00,119.00,,,55.00,,64.00,,,,0.40,,,,,,,,,28.00,,,,,1.61,,,,,0.52,,,5.00,,204.00,,24.00,,,,,,
158,,metased,GEOROC,10.1016/S0009-2541(98)00038-2,"THE EFFECT OF CRUSTAL CONTAMINATION ON ULTRAPOTASSIC MAGMAS WITH LAMPROITIC AFFINITY: MINERALOGICAL, GEOCHEMICAL AND ISOTOPE DATA FROM THE TORRE ALFINA LAVAS AND XENOLITHS, CENTRAL ITALY",CHEM. GEOL.,,,,Xenolith,,,Granulite,42.75,11.95,0.01,70.70,0.71,14.20,1.48,,2.88,4.21,1.53,4.11,1.12,2.17,1.80,0.17,0.08,,,,,98.83,39.31,0.02,105.00,38.00,0.002043054,64.00,,25.00,6.30,1.17,,0.59,,,,,2.40,0.40,,,,,,,,10.00,,,13.00,26.00,,,261.00,,337.00,,,,0.97,,,,,,,,,25.00,,,,,6.80,,,,,10.40,,,47.00,,254.00,,18.00,,,,,,
PE19,,,,,CRUSTAL EVOLUTION OF THE HERCYNIAN BELT OF WESTERN-EUROPE - EVIDENCE FROM LOWER-CRUSTAL GRANULITIC XENOLITHS (FRENCH MASSIF-CENTRAL),CHEM. GEOL.,,,,Xenolith,,,Granulite,45.30,2.75,,50.00,1.50,20.15,4.09,,5.87,9.55,6.31,7.68,2.68,0.56,0.46,0.06,0.13,,,,,98.56,54.09,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.00,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,620.00,,,,,,,,
88,,,,,CRUSTAL EVOLUTION OF THE HERCYNIAN BELT OF WESTERN-EUROPE - EVIDENCE FROM LOWER-CRUSTAL GRANULITIC XENOLITHS (FRENCH MASSIF-CENTRAL),CHEM. GEOL.,,,,Xenolith,,,Granulite,45.30,2.75,,63.82,1.29,16.10,2.37,,4.54,6.67,3.54,1.52,2.94,2.56,2.13,0.08,0.08,,,,,98.52,48.61,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.00,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,,203.00,,,,,,,,
LG4051,,,GEOROC,10.1016/0009-2541(90)90281-B,CRUSTAL EVOLUTION OF THE HERCYNIAN BELT OF WESTERN EUROPE: EVIDENCE FROM LOWER-CRUSTAL GRANULITIC XENOLITHS (FRENCH MASSIF CENTRAL),CHEM. GEOL.,,,,Xenolith,,,Granulite,44.98,4.10,0.01,65.08,1.05,16.20,7.45,,,6.70,3.23,1.67,1.79,2.65,2.20,0.14,0.09,,,,,98.46,46.21,0.03,120.00,39.00,0.003221739,76.20,,31.54,6.24,1.66,,1.55,,,,,4.16,0.66,,,,,,,,19.00,,148.00,138.00,41.00,99.00,13.00,241.00,,836.00,,,,,,,,,,,,,40.00,,,,,6.60,,,,,4.30,,,54.70,,217.90,,17.10,,,,,,
D103128,,,GEOROC,10.1016/0009-2541(94)90170-8,"COMPOSITION AND SM-ND ISOTOPIC DATA OF THE LOWER CRUST BENEATH SAN LUIS POTOSI, CENTRAL MEXICO: EVIDENCE FROM A GRANULITE-FACIES XENOLITH SUITE",CHEM. GEOL.,,,,Xenolith,,,Granulite,22.00,-100.00,0.01,45.31,1.11,15.64,,12.35,,11.11253,9.77,13.68,1.49,0.07,0.06,0.08,0.19,,,,,98.37,61.05,0.08,373.00,3.46,0.008250795,9.87,,7.82,2.67,0.94,,0.76,4.39,,,,3.09,0.50,,,,,,,,54.00,,313.00,53.00,105.00,,,33.00,,52.00,,,,0.24,,,,,,,,,29.00,,,,,1.30,,,,,0.35,,,3.00,,162.00,,7.00,,,,,,
39,,,,,CRUSTAL EVOLUTION OF THE HERCYNIAN BELT OF WESTERN-EUROPE - EVIDENCE FROM LOWER-CRUSTAL GRANULITIC XENOLITHS (FRENCH MASSIF-CENTRAL),CHEM. GEOL.,,,,Xenolith,,,Granulite,45.30,2.75,,66.05,1.18,15.35,2.78,,4.80,7.30,3.02,0.82,1.00,3.58,2.97,0.07,0.06,,,,,98.36,42.44,0.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.00,,,,,,,,,,,,,,,,,,,,,,,,,,53.00,,185.00,,,,,,,,
H4-4,,,GEOROC,10.1016/0009-2541(90)90281-B,CRUSTAL EVOLUTION OF THE HERCYNIAN BELT OF WESTERN EUROPE: EVIDENCE FROM LOWER-CRUSTAL GRANULITIC XENOLITHS (FRENCH MASSIF CENTRAL),CHEM. GEOL.,,,,Xenolith,,,Granulite,44.98,4.10,0.01,51.25,0.94,7.56,6.07,,6.90,12.36,22.80,2.70,0.29,0.26,0.22,0.12,0.18,,,,,98.34,76.68,0.22,1050.00,10.50,0.053119404,29.00,,20.90,3.94,0.73,,0.41,,,,,0.77,0.13,,,,,,,,20.00,,220.00,73.00,676.00,218.00,34.00,73.00,,,,,,,,,,,,,,,11.00,,,,,2.10,,,,,1.93,,,9.00,,95.00,,8.00,,,,,,
VS44,,,GEOROC,10.1016/S0009-2541(98)00038-2,"THE EFFECT OF CRUSTAL CONTAMINATION ON ULTRAPOTASSIC MAGMAS WITH LAMPROITIC AFFINITY: MINERALOGICAL, GEOCHEMICAL AND ISOTOPE DATA FROM THE TORRE ALFINA LAVAS AND XENOLITHS, CENTRAL ITALY",CHEM. GEOL.,0.01,1.305,2.6,METAMORPHIC,UNKNOWN,UNKNOWN,GNEISS,42.75,11.95,0.01,66.7,0.95,16,6.74,,,6.06,1.82,3.3,1.49,1.9,1.58,0.12,0.09,0.8,,,,98.31,34.86,,138,91,,37,,6.7,1.8,1.76,,0.71,,,,,3,0.7,,,,,,,,18,,,20,57,,,337,,249,,,,0.97,,,,,,,,,27,,,,,8.1,,,,,14.1,,,55,,216,,19,,,,,,
